time,open,high,low,close,volume
2025-10-08 22:50:00,229.05,229.06,229.05,229.05,0.14315502
2025-10-08 22:51:00,229.06,229.12,229.06,229.06,6.8176807
2025-10-08 22:52:00,229.06,229.09,229.05,229.05,65.29077891
2025-10-08 22:53:00,229.05,229.05,229.02,229.05,2.9855474
2025-10-08 22:54:00,229.05,229.06,229.05,229.05,14.25517057
2025-10-08 22:55:00,229.06,229.12,229.06,229.11,43.20572006
2025-10-08 22:56:00,229.11,229.11,229.08,229.08,0.16343246
2025-10-08 22:57:00,229.08,229.08,228.86,228.86,13.13129099
2025-10-08 22:58:00,228.86,228.86,228.76,228.77,6.81805273
2025-10-08 22:59:00,228.77,228.77,228.68,228.68,12.32254151
2025-10-08 23:00:00,228.68,228.68,228.63,228.68,103.77837199
2025-10-08 23:01:00,228.68,228.68,228.68,228.68,9.65966545
2025-10-08 23:02:00,228.68,228.68,228.67,228.67,1.70139822
2025-10-08 23:03:00,228.68,228.68,228.67,228.67,3.1064823
2025-10-08 23:04:00,228.66,228.67,228.56,228.57,1.38804723
2025-10-08 23:05:00,228.57,228.57,228.46,228.47,17.78861161
2025-10-08 23:06:00,228.47,228.47,228.26,228.27,8.49873984
2025-10-08 23:07:00,228.26,228.27,228.26,228.26,7.74742185
2025-10-08 23:08:00,228.27,228.27,228.02,228.02,79.01749974
2025-10-08 23:09:00,228.01,228.02,228.01,228.01,9.24980254
2025-10-08 23:10:00,228.02,228.3,228.01,228.3,9.43111447
2025-10-08 23:11:00,228.35,228.35,228.2,228.23,7.80399131
2025-10-08 23:12:00,228.23,228.23,228.13,228.13,9.52916573
2025-10-08 23:13:00,228.14,228.2,228.13,228.2,63.95039673
2025-10-08 23:14:00,228.16,228.16,228.09,228.09,10.87183816
2025-10-08 23:15:00,228.0,228.3,228.0,228.22,6.40402639
2025-10-08 23:16:00,228.22,228.5,228.22,228.5,2.81667676
2025-10-08 23:17:00,228.38,228.39,228.3,228.39,0.59074945
2025-10-08 23:18:00,228.37,228.39,228.32,228.33,37.19717912
2025-10-08 23:19:00,228.31,228.33,228.2,228.2,26.7320998
2025-10-08 23:20:00,228.25,228.33,228.2,228.33,46.07266083
2025-10-08 23:21:00,228.24,228.24,228.23,228.23,0.08894145
2025-10-08 23:22:00,228.23,228.33,228.23,228.33,0.38484142
2025-10-08 23:23:00,228.33,228.52,228.33,228.52,11.96572752
2025-10-08 23:24:00,228.49,228.54,228.49,228.54,4.406537
2025-10-08 23:25:00,228.59,228.65,228.53,228.65,13.26844234
2025-10-08 23:26:00,228.65,228.67,228.65,228.66,2.546799
2025-10-08 23:27:00,228.64,228.65,228.61,228.61,4.6294955
2025-10-08 23:28:00,228.62,228.63,228.62,228.63,0.09794918
